pattern;occurrences;seed_count
position_in_sentence -> position_in_sentence -> word_sentence_frequency;5;5
token_relative_frequency -> position_in_sentence -> word_sentence_frequency -> relative_position;6;4
position_in_sentence -> token_relative_frequency -> position_in_sentence -> relative_position;5;4
token_relative_frequency -> token_relative_frequency -> position_in_sentence -> position_in_sentence;5;4
position_in_sentence -> token_rank -> relative_position;4;4
position_in_sentence -> position_in_sentence -> position_in_sentence -> word_burstiness;4;4
token_relative_frequency -> position_in_sentence -> relative_position -> word_burstiness;4;4
position_in_sentence -> position_in_sentence -> relative_position -> word_burstiness;4;4
position_in_sentence -> position_in_sentence -> position_in_sentence -> pos_id;4;4
position_in_sentence -> position_in_sentence -> position_in_sentence -> token_rank;4;4
position_in_sentence -> relative_position -> token_relative_frequency;4;4
position_in_sentence -> relative_position -> word_burstiness -> word_burstiness;4;4
token_relative_frequency -> position_in_sentence -> relative_position -> word_sentence_frequency;5;3
dep_id -> position_in_sentence;4;3
token_relative_frequency -> relative_position -> position_in_sentence -> relative_position;3;3
dep_id -> position_in_sentence -> position_in_sentence;3;3
token_relative_frequency -> word_sentence_frequency -> relative_position -> position_in_sentence;3;3
token_relative_frequency -> position_in_sentence -> position_in_sentence -> word_sentence_frequency;3;3
position_in_sentence -> position_in_sentence -> token_rank;3;3
word_sentence_frequency -> token_relative_frequency -> position_in_sentence -> position_in_sentence;3;3
word_sentence_frequency -> relative_position -> position_in_sentence;3;3
position_in_sentence -> token_relative_frequency -> position_in_sentence;3;3
position_in_sentence -> relative_position;3;3
position_in_sentence -> position_in_sentence -> position_in_sentence -> token_relative_frequency;3;3
token_relative_frequency -> token_rank -> position_in_sentence -> relative_position;3;3
position_in_sentence -> relative_position -> token_relative_frequency -> position_in_sentence;3;3
token_relative_frequency -> position_in_sentence -> word_sentence_frequency -> word_sentence_frequency;3;3
token_relative_frequency -> position_in_sentence -> word_sentence_frequency;3;3
position_in_sentence -> position_in_sentence -> word_burstiness;3;3
position_in_sentence -> pos_id -> word_sentence_frequency -> position_in_sentence;3;3
position_in_sentence -> pos_id -> word_sentence_frequency;3;3
position_in_sentence -> word_burstiness -> position_in_sentence -> position_in_sentence;3;3
position_in_sentence -> next_pos_id -> position_in_sentence -> position_in_sentence;3;3
position_in_sentence -> relative_position -> token_rank -> position_in_sentence;3;3
word_sentence_frequency -> token_relative_frequency -> relative_position -> position_in_sentence;3;3
token_relative_frequency -> position_in_sentence -> position_in_sentence -> token_rank;3;3
word_sentence_frequency -> position_in_sentence;3;3
position_in_sentence -> relative_position -> position_in_sentence -> word_sentence_frequency;3;3
position_in_sentence -> token_relative_frequency -> word_sentence_frequency;3;3
token_relative_frequency -> word_sentence_frequency -> token_relative_frequency -> position_in_sentence;4;2
token_rank -> position_in_sentence -> position_in_sentence -> position_in_sentence;3;2
word_sentence_frequency -> position_in_sentence -> token_relative_frequency -> position_in_sentence;3;2
word_sentence_frequency -> position_in_sentence -> token_relative_frequency;3;2
position_in_sentence -> token_relative_frequency -> position_in_sentence -> word_burstiness;3;2
position_in_sentence -> position_in_sentence -> relative_position -> word_sentence_frequency;3;2
position_in_sentence -> token_relative_frequency -> relative_position -> position_in_sentence;3;2
token_relative_frequency -> word_sentence_frequency -> token_rank -> position_in_sentence;3;2
token_relative_frequency -> word_sentence_frequency -> word_sentence_frequency -> position_in_sentence;2;2
token_relative_frequency -> position_in_sentence -> relative_position -> token_length;2;2
position_in_sentence -> position_in_sentence -> relative_position -> pos_id;2;2
position_in_sentence -> token_rank -> relative_position -> relative_position;2;2
token_relative_frequency -> position_in_sentence -> is_punctuation -> word_burstiness;2;2
token_relative_frequency -> word_sentence_frequency -> position_in_sentence -> token_relative_frequency;2;2
position_in_sentence -> token_relative_frequency -> relative_position;2;2
prev_pos_id -> position_in_sentence -> position_in_sentence -> relative_position;2;2
position_in_sentence -> relative_position -> word_sentence_frequency -> token_rank;2;2
position_in_sentence -> relative_position -> word_sentence_frequency;2;2
token_relative_frequency -> position_in_sentence -> token_rank -> token_rank;2;2
word_sentence_frequency -> word_burstiness -> position_in_sentence -> position_in_sentence;2;2
position_in_sentence -> relative_position -> token_rank -> token_rank;2;2
token_relative_frequency -> position_in_sentence -> word_burstiness -> relative_position;2;2
word_burstiness -> position_in_sentence -> position_in_sentence;2;2
token_relative_frequency -> position_in_sentence -> relative_position -> token_relative_frequency;2;2
relative_position -> token_relative_frequency -> word_burstiness -> word_burstiness;2;2
relative_position -> token_relative_frequency -> position_in_sentence -> token_rank;2;2
token_relative_frequency -> position_in_sentence -> word_burstiness -> token_rank;2;2
token_relative_frequency -> token_rank -> token_rank -> position_in_sentence;2;2
next_pos_id -> token_relative_frequency -> position_in_sentence -> position_in_sentence;2;2
token_relative_frequency -> position_in_sentence -> word_burstiness -> word_burstiness;2;2
position_in_sentence -> token_rank -> word_sentence_frequency;2;2
position_in_sentence -> word_sentence_frequency -> position_in_sentence;2;2
position_in_sentence -> word_sentence_frequency -> position_in_sentence -> relative_position;2;2
word_sentence_frequency -> position_in_sentence -> relative_position -> position_in_sentence;2;2
relative_position -> position_in_sentence -> position_in_sentence -> relative_position;2;2
relative_position -> token_relative_frequency -> token_rank -> token_rank;2;2
position_in_sentence -> position_in_sentence -> token_relative_frequency -> relative_position;2;2
position_in_sentence -> position_in_sentence -> word_sentence_frequency -> relative_position;2;2
position_in_sentence -> relative_position -> token_rank;2;2
position_in_sentence -> relative_position -> relative_position;2;2
token_relative_frequency -> word_burstiness -> position_in_sentence;2;2
position_in_sentence -> position_in_sentence -> token_relative_frequency;2;2
position_in_sentence -> token_relative_frequency -> token_rank;2;2
position_in_sentence -> token_rank -> position_in_sentence -> position_in_sentence;2;2
next_pos_id -> position_in_sentence -> relative_position;2;2
token_relative_frequency -> token_length -> word_sentence_frequency -> position_in_sentence;2;2
token_relative_frequency -> token_length -> position_in_sentence -> position_in_sentence;2;2
token_relative_frequency -> position_in_sentence -> relative_position -> token_rank;2;2
position_in_sentence -> token_rank;2;2
position_in_sentence -> token_rank -> token_relative_frequency;2;2
word_sentence_frequency -> position_in_sentence -> relative_position -> token_relative_frequency;2;2
position_in_sentence -> word_burstiness -> word_burstiness -> position_in_sentence;2;2
relative_position -> token_relative_frequency -> position_in_sentence -> relative_position;2;2
position_in_sentence -> relative_position -> word_burstiness -> position_in_sentence;2;2
position_in_sentence -> relative_position -> relative_position -> position_in_sentence;2;2
position_in_sentence -> relative_position -> position_in_sentence -> dep_id;2;2
token_relative_frequency -> relative_position -> word_sentence_frequency -> token_rank;2;2
position_in_sentence -> token_rank -> token_rank -> position_in_sentence;2;2
word_sentence_frequency -> word_sentence_frequency -> position_in_sentence -> position_in_sentence;2;1
position_in_sentence -> relative_position -> word_sentence_frequency -> word_sentence_frequency;2;1
position_in_sentence -> position_in_sentence -> word_burstiness -> word_burstiness;2;1
relative_position -> token_relative_frequency -> word_sentence_frequency -> position_in_sentence;2;1
position_in_sentence -> prev_pos_id -> position_in_sentence -> position_in_sentence;2;1
position_in_sentence -> relative_position -> word_burstiness -> relative_position;2;1
token_relative_frequency -> dep_id -> position_in_sentence -> position_in_sentence;2;1
position_in_sentence -> token_rank -> relative_position -> position_in_sentence;2;1
word_sentence_frequency -> position_in_sentence -> relative_position -> relative_position;2;1
dep_id -> position_in_sentence -> word_sentence_frequency;2;1
token_relative_frequency -> word_burstiness -> pos_id -> word_burstiness;2;1
word_sentence_frequency -> position_in_sentence -> position_in_sentence -> word_burstiness;1;1
token_rank -> position_in_sentence -> relative_position;1;1
prev_pos_id -> relative_position -> is_subword -> word_sentence_frequency;1;1
position_in_sentence -> token_rank -> dep_id;1;1
position_in_sentence -> token_rank -> dep_id -> relative_position;1;1
token_relative_frequency -> position_in_sentence -> word_sentence_frequency -> prev_pos_id;1;1
token_relative_frequency -> position_in_sentence -> dep_id;1;1
relative_position -> position_in_sentence -> relative_position -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence -> relative_position -> dep_id;1;1
position_in_sentence -> position_in_sentence -> position_in_sentence -> depth_in_tree;1;1
word_sentence_frequency -> word_sentence_frequency -> position_in_sentence;1;1
prev_pos_id -> dep_id -> position_in_sentence;1;1
prev_pos_id -> dep_id -> position_in_sentence -> position_in_sentence;1;1
prev_pos_id -> dep_id -> token_relative_frequency -> position_in_sentence;1;1
prev_pos_id -> pos_id -> position_in_sentence -> relative_position;1;1
prev_pos_id -> pos_id -> word_sentence_frequency -> position_in_sentence;1;1
token_relative_frequency -> word_sentence_frequency -> position_in_sentence -> word_burstiness;1;1
token_relative_frequency -> dep_id -> relative_position -> position_in_sentence;1;1
token_relative_frequency -> word_sentence_frequency -> token_rank -> is_punctuation;1;1
token_relative_frequency -> word_burstiness -> word_burstiness -> position_in_sentence;1;1
token_relative_frequency -> token_rank -> position_in_sentence;1;1
token_relative_frequency -> token_rank -> position_in_sentence -> token_rank;1;1
position_in_sentence -> pos_id -> word_burstiness -> relative_position;1;1
position_in_sentence -> pos_id -> word_burstiness;1;1
position_in_sentence -> pos_id -> relative_position -> token_length;1;1
token_relative_frequency -> token_rank -> relative_position -> position_in_sentence;1;1
dep_id -> position_in_sentence -> position_in_sentence -> token_rank;1;1
prev_pos_id -> relative_position -> token_rank -> token_rank;1;1
prev_pos_id -> relative_position -> num_subtokens;1;1
token_relative_frequency -> word_burstiness -> word_sentence_frequency -> pos_id;1;1
token_relative_frequency -> word_burstiness -> word_sentence_frequency;1;1
position_in_sentence -> token_relative_frequency -> dep_id -> position_in_sentence;1;1
token_relative_frequency -> pos_id -> word_sentence_frequency -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence -> position_in_sentence -> pos_id;1;1
token_relative_frequency -> position_in_sentence -> position_in_sentence -> word_burstiness;1;1
position_in_sentence -> position_in_sentence -> word_burstiness -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence -> position_in_sentence -> token_length;1;1
token_relative_frequency -> position_in_sentence -> next_pos_id -> position_in_sentence;1;1
position_in_sentence -> relative_position -> word_sentence_frequency -> word_burstiness;1;1
token_relative_frequency -> position_in_sentence -> word_burstiness -> position_in_sentence;1;1
relative_position -> next_pos_id -> position_in_sentence;1;1
token_rank -> position_in_sentence -> token_rank;1;1
token_rank -> position_in_sentence -> token_rank -> position_in_sentence;1;1
prev_pos_id -> word_sentence_frequency;1;1
token_relative_frequency -> relative_position -> token_relative_frequency -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence;1;1
word_burstiness -> position_in_sentence -> position_in_sentence -> position_in_sentence;1;1
token_relative_frequency -> is_punctuation -> word_sentence_frequency -> relative_position;1;1
position_in_sentence -> token_rank -> token_rank -> token_rank;1;1
token_relative_frequency -> position_in_sentence -> dep_id -> token_rank;1;1
token_relative_frequency -> position_in_sentence -> dep_id -> position_in_sentence;1;1
token_relative_frequency -> relative_position -> is_stopword -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence -> relative_position -> next_pos_id;1;1
token_relative_frequency -> word_burstiness -> relative_position -> position_in_sentence;1;1
position_in_sentence -> prev_pos_id -> token_rank -> token_rank;1;1
position_in_sentence -> token_relative_frequency -> word_burstiness -> position_in_sentence;1;1
position_in_sentence -> token_relative_frequency -> position_in_sentence -> is_stopword;1;1
position_in_sentence -> pos_id -> position_in_sentence -> position_in_sentence;1;1
position_in_sentence -> pos_id -> word_sentence_frequency -> relative_position;1;1
relative_position -> position_in_sentence -> pos_id -> word_sentence_frequency;1;1
position_in_sentence -> relative_position -> position_in_sentence -> word_burstiness;1;1
token_relative_frequency -> token_relative_frequency -> word_burstiness -> word_burstiness;1;1
relative_position -> position_in_sentence -> position_in_sentence -> word_sentence_frequency;1;1
next_pos_id -> token_relative_frequency -> word_sentence_frequency -> relative_position;1;1
next_pos_id -> token_relative_frequency -> word_sentence_frequency -> position_in_sentence;1;1
next_pos_id -> token_relative_frequency -> word_burstiness -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence -> dep_id -> word_sentence_frequency;1;1
token_relative_frequency -> position_in_sentence -> word_burstiness;1;1
token_relative_frequency -> relative_position -> token_rank -> word_sentence_frequency;1;1
position_in_sentence -> pos_id -> token_rank -> token_rank;1;1
position_in_sentence -> token_rank -> word_sentence_frequency -> relative_position;1;1
token_relative_frequency -> next_pos_id -> position_in_sentence -> position_in_sentence;1;1
relative_position -> token_relative_frequency -> token_rank -> word_sentence_frequency;1;1
position_in_sentence -> word_sentence_frequency -> word_sentence_frequency -> position_in_sentence;1;1
word_sentence_frequency -> position_in_sentence -> position_in_sentence -> token_relative_frequency;1;1
word_sentence_frequency -> position_in_sentence -> position_in_sentence -> next_pos_id;1;1
position_in_sentence -> word_burstiness -> word_burstiness -> word_sentence_frequency;1;1
dep_id -> token_relative_frequency -> position_in_sentence -> relative_position;1;1
token_relative_frequency -> word_sentence_frequency -> token_relative_frequency -> word_sentence_frequency;1;1
position_in_sentence -> token_relative_frequency -> pos_id -> word_sentence_frequency;1;1
position_in_sentence -> word_burstiness -> relative_position -> position_in_sentence;1;1
position_in_sentence -> relative_position -> relative_position -> pos_id;1;1
position_in_sentence -> word_burstiness -> is_punctuation -> position_in_sentence;1;1
position_in_sentence -> word_burstiness -> is_punctuation;1;1
relative_position -> token_relative_frequency -> word_burstiness -> word_sentence_frequency;1;1
token_relative_frequency -> position_in_sentence -> word_burstiness -> is_punctuation;1;1
position_in_sentence -> token_relative_frequency -> relative_position -> relative_position;1;1
token_relative_frequency -> token_rank -> token_rank -> word_burstiness;1;1
token_relative_frequency -> position_in_sentence -> word_burstiness -> pos_id;1;1
token_relative_frequency -> position_in_sentence -> position_in_sentence -> token_relative_frequency;1;1
word_sentence_frequency -> token_relative_frequency -> token_rank -> pos_id;1;1
position_in_sentence -> dep_id -> token_length -> position_in_sentence;1;1
word_sentence_frequency -> relative_position -> token_relative_frequency -> position_in_sentence;1;1
position_in_sentence -> relative_position -> token_rank -> pos_id;1;1
position_in_sentence -> relative_position -> is_punctuation;1;1
position_in_sentence -> relative_position -> word_burstiness -> word_sentence_frequency;1;1
position_in_sentence -> word_burstiness -> position_in_sentence -> word_sentence_frequency;1;1
token_relative_frequency -> token_relative_frequency -> position_in_sentence -> relative_position;1;1
position_in_sentence -> token_relative_frequency -> relative_position -> pos_id;1;1
position_in_sentence -> relative_position -> is_pronoun -> word_burstiness;1;1
position_in_sentence -> relative_position -> token_rank -> relative_position;1;1
token_relative_frequency -> word_sentence_frequency -> relative_position -> relative_position;1;1
position_in_sentence -> token_rank -> word_burstiness;1;1
position_in_sentence -> token_rank -> relative_position -> token_relative_frequency;1;1
position_in_sentence -> token_relative_frequency -> token_rank -> word_sentence_frequency;1;1
position_in_sentence -> is_punctuation -> token_length -> word_sentence_frequency;1;1
position_in_sentence -> is_punctuation -> token_rank -> word_sentence_frequency;1;1
next_pos_id -> position_in_sentence -> relative_position -> token_relative_frequency;1;1
next_pos_id -> position_in_sentence -> position_in_sentence -> position_in_sentence;1;1
word_sentence_frequency -> token_relative_frequency -> position_in_sentence -> relative_position;1;1
token_relative_frequency -> is_punctuation -> relative_position -> position_in_sentence;1;1
token_relative_frequency -> is_punctuation -> word_burstiness -> position_in_sentence;1;1
token_relative_frequency -> word_sentence_frequency -> token_rank -> token_rank;1;1
position_in_sentence -> is_punctuation -> word_burstiness -> word_burstiness;1;1
relative_position -> word_sentence_frequency -> position_in_sentence;1;1
token_relative_frequency -> dep_id -> position_in_sentence -> token_rank;1;1
token_relative_frequency -> token_length -> position_in_sentence -> dep_id;1;1
token_relative_frequency -> position_in_sentence -> num_dependents -> word_sentence_frequency;1;1
position_in_sentence -> position_in_sentence -> word_burstiness -> relative_position;1;1
position_in_sentence -> word_sentence_frequency -> position_in_sentence -> token_relative_frequency;1;1
position_in_sentence -> token_rank -> token_length;1;1
position_in_sentence -> token_rank -> token_length -> depth_in_tree;1;1
token_relative_frequency -> token_rank -> position_in_sentence -> token_relative_frequency;1;1
position_in_sentence -> pos_id -> position_in_sentence;1;1
relative_position -> token_relative_frequency -> word_burstiness -> position_in_sentence;1;1
position_in_sentence -> token_rank -> word_sentence_frequency -> position_in_sentence;1;1
position_in_sentence -> word_sentence_frequency -> token_relative_frequency -> relative_position;1;1
position_in_sentence -> token_rank -> relative_position -> is_stopword;1;1
position_in_sentence -> word_sentence_frequency -> dep_id -> position_in_sentence;1;1
relative_position -> token_relative_frequency -> token_relative_frequency -> word_burstiness;1;1
relative_position -> token_relative_frequency -> token_rank -> word_burstiness;1;1
token_relative_frequency -> position_in_sentence -> word_burstiness -> word_sentence_frequency;1;1
position_in_sentence -> relative_position -> is_punctuation -> position_in_sentence;1;1
position_in_sentence -> relative_position -> is_punctuation -> word_sentence_frequency;1;1
position_in_sentence -> position_in_sentence -> relative_position -> is_punctuation;1;1
position_in_sentence -> word_burstiness -> word_burstiness;1;1
position_in_sentence -> relative_position -> relative_position -> word_burstiness;1;1
token_relative_frequency -> position_in_sentence -> relative_position -> is_pronoun;1;1
position_in_sentence -> relative_position -> token_rank -> word_sentence_frequency;1;1
position_in_sentence -> relative_position -> token_relative_frequency -> word_sentence_frequency;1;1
relative_position -> token_relative_frequency -> token_rank -> position_in_sentence;1;1
next_pos_id -> position_in_sentence;1;1
token_relative_frequency -> word_burstiness -> dep_id -> position_in_sentence;1;1
relative_position -> next_pos_id -> position_in_sentence -> position_in_sentence;1;1
position_in_sentence -> token_rank -> token_length -> relative_position;1;1
position_in_sentence -> word_burstiness -> token_rank -> word_sentence_frequency;1;1
token_relative_frequency -> is_punctuation -> token_rank -> position_in_sentence;1;1
position_in_sentence -> token_relative_frequency -> is_punctuation -> position_in_sentence;1;1
position_in_sentence -> is_stopword -> token_rank -> word_burstiness;1;1
position_in_sentence -> token_rank -> token_relative_frequency -> word_sentence_frequency;1;1
position_in_sentence -> token_rank -> relative_position -> is_pronoun;1;1
position_in_sentence -> position_in_sentence -> word_burstiness -> word_sentence_frequency;1;1
dep_id -> position_in_sentence -> relative_position -> word_sentence_frequency;1;1
dep_id -> position_in_sentence -> next_pos_id -> position_in_sentence;1;1
position_in_sentence -> position_in_sentence -> relative_position -> dep_id;1;1
pos_id -> word_sentence_frequency -> position_in_sentence;1;1
pos_id -> word_sentence_frequency -> position_in_sentence -> position_in_sentence;1;1
pos_id -> position_in_sentence -> position_in_sentence;1;1
relative_position -> position_in_sentence -> word_sentence_frequency -> dep_id;1;1
position_in_sentence -> position_in_sentence -> relative_position -> token_length;1;1
position_in_sentence -> position_in_sentence -> token_rank -> token_rank;1;1
dep_id -> position_in_sentence -> relative_position -> token_rank;1;1
dep_id -> position_in_sentence -> relative_position;1;1
position_in_sentence -> position_in_sentence -> token_relative_frequency -> token_rank;1;1
position_in_sentence -> position_in_sentence -> token_relative_frequency -> is_pronoun;1;1
token_relative_frequency -> position_in_sentence -> relative_position -> pos_id;1;1
position_in_sentence -> word_sentence_frequency -> is_stopword -> position_in_sentence;1;1
token_relative_frequency -> relative_position -> position_in_sentence -> word_sentence_frequency;1;1
token_relative_frequency -> word_sentence_frequency -> position_in_sentence -> pos_id;1;1
token_relative_frequency -> position_in_sentence -> pos_id;1;1
token_relative_frequency -> position_in_sentence -> pos_id -> position_in_sentence;1;1
token_relative_frequency -> position_in_sentence -> token_length -> word_burstiness;1;1
token_relative_frequency -> position_in_sentence -> token_length -> word_sentence_frequency;1;1
position_in_sentence -> position_in_sentence -> is_special_token;1;1
position_in_sentence -> position_in_sentence -> word_sentence_frequency -> is_stopword;1;1
relative_position -> position_in_sentence -> relative_position -> relative_position;1;1
position_in_sentence -> position_in_sentence -> word_sentence_frequency -> token_rank;1;1
position_in_sentence -> relative_position -> token_rank -> num_dependents;1;1
position_in_sentence -> token_rank -> is_punctuation -> word_sentence_frequency;1;1
token_relative_frequency -> relative_position -> word_sentence_frequency -> word_sentence_frequency;1;1
token_relative_frequency -> word_burstiness -> position_in_sentence -> relative_position;1;1
position_in_sentence -> relative_position -> token_rank -> token_length;1;1
token_relative_frequency -> token_rank -> token_rank;1;1
token_relative_frequency -> token_rank -> word_sentence_frequency -> position_in_sentence;1;1
position_in_sentence -> is_special_token -> relative_position -> position_in_sentence;1;1
position_in_sentence -> is_special_token -> position_in_sentence;1;1
position_in_sentence -> is_special_token -> position_in_sentence -> position_in_sentence;1;1
token_relative_frequency -> word_burstiness -> position_in_sentence -> token_rank;1;1
token_relative_frequency -> word_burstiness -> is_pronoun -> token_length;1;1
token_relative_frequency -> word_burstiness -> position_in_sentence -> word_sentence_frequency;1;1
token_relative_frequency -> word_burstiness -> is_pronoun -> word_burstiness;1;1
position_in_sentence -> word_burstiness -> token_rank -> token_rank;1;1
position_in_sentence -> word_burstiness -> dep_id -> position_in_sentence;1;1
position_in_sentence -> word_burstiness -> word_burstiness -> token_rank;1;1
position_in_sentence -> depth_in_tree -> position_in_sentence -> position_in_sentence;1;1
next_pos_id -> position_in_sentence -> position_in_sentence;1;1
relative_position -> position_in_sentence -> relative_position -> word_sentence_frequency;1;1
relative_position -> position_in_sentence -> word_sentence_frequency -> position_in_sentence;1;1
position_in_sentence -> relative_position -> word_sentence_frequency -> position_in_sentence;1;1
relative_position -> token_relative_frequency -> is_punctuation -> word_burstiness;1;1
dep_id -> position_in_sentence -> word_sentence_frequency -> position_in_sentence;1;1
position_in_sentence -> token_relative_frequency -> token_rank -> position_in_sentence;1;1
position_in_sentence -> depth_in_tree -> position_in_sentence;1;1
token_relative_frequency -> token_rank -> position_in_sentence -> word_sentence_frequency;1;1
token_relative_frequency -> word_sentence_frequency -> relative_position -> dep_id;1;1
token_relative_frequency -> word_sentence_frequency -> position_in_sentence -> dep_id;1;1
position_in_sentence -> position_in_sentence -> word_sentence_frequency -> word_sentence_frequency;1;1
position_in_sentence -> position_in_sentence -> token_length -> position_in_sentence;1;1
position_in_sentence -> token_relative_frequency -> token_length -> dep_id;1;1
position_in_sentence -> word_sentence_frequency -> word_burstiness -> position_in_sentence;1;1
position_in_sentence -> relative_position -> word_burstiness -> pos_id;1;1
position_in_sentence -> dep_id -> word_sentence_frequency -> position_in_sentence;1;1
dep_id -> word_sentence_frequency -> relative_position -> position_in_sentence;1;1
dep_id -> word_sentence_frequency -> position_in_sentence;1;1
dep_id -> word_sentence_frequency -> position_in_sentence -> position_in_sentence;1;1
word_sentence_frequency -> token_rank -> pos_id -> token_relative_frequency;1;1
word_sentence_frequency -> token_rank -> token_length;1;1
word_sentence_frequency -> token_rank -> token_length -> relative_position;1;1
position_in_sentence -> position_in_sentence -> token_rank -> word_sentence_frequency;1;1
position_in_sentence -> token_relative_frequency -> word_sentence_frequency -> next_pos_id;1;1
position_in_sentence -> word_sentence_frequency -> token_length -> position_in_sentence;1;1
position_in_sentence -> relative_position -> position_in_sentence -> token_rank;1;1
position_in_sentence -> next_pos_id -> word_burstiness -> word_sentence_frequency;1;1
token_relative_frequency -> token_length -> token_rank -> word_sentence_frequency;1;1
next_pos_id -> relative_position -> position_in_sentence;1;1
position_in_sentence -> token_relative_frequency -> token_rank -> token_rank;1;1
position_in_sentence -> token_relative_frequency -> pos_id;1;1
position_in_sentence -> token_relative_frequency -> pos_id -> relative_position;1;1
position_in_sentence -> dep_id -> word_sentence_frequency;1;1
position_in_sentence -> dep_id -> position_in_sentence -> position_in_sentence;1;1
