sentence_id;sentence;dataset
44;A woman in a green jacket and hood over her head looking towards a valley.;snli
45;Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.;snli
46;A man and a woman walk down a crowded city street.;snli
47;A man and a soman are eating together at John's Pizza and Gyro.;snli
48;The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.;snli
49;Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.;snli
50;Two adults run across the street to get away from a red shirted person chasing them.;snli
51;Two people walk home after a tasty steak dinner.;snli
52;Two people walk away from a restaurant across a street.;snli
53;Two adults walking across a road near the convicted prisoner dressed in red;snli
54;Two adults walk across the street to get away from a red shirted person who is chasing them.;snli
55;A woman wearing all white and eating, walks next to a man holding a briefcase.;snli
56;A married couple is walking next to each other.;snli
57;A woman is walking across the street eating a banana, while a man is following with his briefcase.;snli
58;A woman eats a banana and walks across a street, and there is a man trailing behind her.;snli
59;The woman and man are playing baseball together.;snli
60;A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.;snli
61;An actress and her favorite assistant talk a walk in the city.;snli
62;a woman eating a banana crosses a street;snli
63;the woman is having coffee at the cafe;snli
64;A skier is near the rail looking down.;snli
65;A person on skis on a rail at night.;snli
66;A skier in electric green on the edge of a ramp made of metal bars.;snli
67;The skier was on the edge of the ramp.;snli
68;The brightly dressed skier slid down the race course.;snli
69;A yellow uniformed skier is performing a trick across a railed object.;snli
70;A blond man is drinking from a public fountain.;snli
71;A dog is playing fetch in a pond.;snli
72;An underwater camera takes a photo of a puppy.;snli
73;A dog swims in a body of water.;snli
74;The furry brown dog is swimming in the ocean.;snli
75;A big brown dog swims towards the camera.;snli
76;A photographer is taking pictures of a dog.;snli
77;A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.;snli
78;The farmer wearing a gray hat is driving a horse-drawn cart.;snli
79;The man with the gray hat and pitchfork is directing the cart.;snli
80;The woman in a blue dress is hitching a horse to a cart.;snli
81;A man is leading a Clydesdale up a hay road, within a Old Country.;snli
82;A man is walking with his horse up a country road.;snli
83;A woman in a gray business suit is drinking tea.;snli
84;A man in a straw hat and overalls is walking with his horse up a country road.;snli
85;A farmer fertilizing his garden with manure with a horse and wagon.;snli
86;The man is on the city street with his horse and wagon.;snli
87;The man is in an open field with a horse and wagon.;snli
88;A white horse is pulling a cart while a man stands and watches.;snli
89;A small group of church-goers watch a choir practice.;snli
90;A choir performs in front of packed crowd.;snli
91;The pastor and elders watch the choir to make sure they are good.;snli
92;A dog drops a red disc on a beach.;snli
93;a dog catch the ball on a beach;snli
94;a dog drops a disc with a boy;snli
95;A man and a woman are walking on a street at the top of a hill.;snli
96;A man and woman walk on a street.;snli
97;An elderly man is drinking orange juice at a cafe.;snli
98;An elderly man is drinking apple juice at a bar.;snli
99;An older gentleman is enjoying his orange juice at a new cafe.;snli
100;An old man is enjoying a beverage at a cafe.;snli
101;A couple holding hands walks down a street.;snli
102;Two men hold hands while walking down the street.;snli
103;There are people sitting on the side of the road.;snli
104;A couple walk through a white brick town.;snli
105;A man and woman walk in a brown brick city.;snli
106;A man and woman walk through a big city.;snli
107;People listening to a choir in a Catholic church.;snli
108;People are in mass for a first communion;snli
109;A bicyclist is sitting down having lunch at the mall.;snli
110;A person on a bike is waiting while the light is green.;snli
111;A person on a bike is near a street.;snli
112;Bikers stop and wait for traffic at the intersection.;snli
113;The bicyclists ride through the mall on their bikes.;snli
114;The bicyclists are riding to the book store.;snli
115;A group of bicyclists remain on the sidewalk at the intersection.;snli
116;A bunch of friends are on a boat;snli
117;There are people on bikes at a light;snli
118;The people are riding their bikes to the gym.;snli
119;Men and women outside on a street corner.;snli
120;A ladybug has landed on a beautiful pink rose.;snli
121;Men and women on their motorcycles, wearing helmets and protective jackets.;snli
122;There is a bike race happening right now.;snli
123;People on bicycles enjoy a conversation waiting for traffic.;snli
124;The people are trying to get to the convenience store across the street.;snli
125;Some people on bikes are stopped at a junction.;snli
126;The people are waiting for the movie to begin.;snli
127;More than one person on a bicycle is obeying traffic laws.;snli
128;A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.;snli
129;A man is giving another man a piggyback ride.;snli
130;A produce vendor is watched by a health department worker.;snli
131;Someone is on top of a cart full of items, while someone else observes.;snli
132;A merchant and his assistant are trying to determine how many products are in their cart.;snli
133;A man is standing on top of a cart.;snli
134;A man is standing on a cart full of groceries.;snli
135;A boy is drinking out of a water fountain shaped like a woman.;snli
136;A male is getting a drink of water.;snli
137;A sculptor takes a drink from a fountain that he made that looks like his girlfriend.;snli
138;A man is drinking lemonade from a glass.;snli
139;A town has witnessed the arrival of three bikers.;snli
140;Three bikers are taking a rest in the town.;snli
141;A group of bikers are in the street.;snli
142;Two people loading brush on a trailer attached to a truck.;snli
143;A man is carrying a canoe to the water.;snli
144;A couple of people are loading brush onto a trailer that is attached to a truck.;snli
145;Two people loading brush on a trailer attached to a truck so they can go camping and burn it.;snli
146;A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.;snli
147;A bearded man is pulling a rope at work.;snli
148;The man was on the job trying to move some equipment.;snli
149;a bearded man is pulling a car with his teeth.;snli
150;a man competes in a rope pulling contest;snli
151;A man is trying to pull his car out of a lake;snli
152;A bearded man is pulling on a rope.;snli
153;A man is dragging a sled behind him.;snli
154;A man in a swimsuit, swings on a rope.;snli
155;The man is able to grow a beard.;snli
156;A man with facial hair and a red and gray shirt tugging on a piece of rope.;snli
157;A man is wearing a red and gray shirt.;snli
158;A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.;snli
159;The middle aged oriental woman is watchingt v;snli
160;A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile;snli
161;The middle aged oriental woman is very happy;snli
162;An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.;snli
163;An Asian woman is happy because she found money on the ground.;snli
164;An Asian woman is smiling at while another lady is rowing.;snli
165;An Asian woman is running from a dog.;snli
166;A worker is doing something to a boat.;snli
167;The boat worker is swimming in the ocean.;snli
168;The boat worker works hard to establish the line.;snli
169;A small girl with a necklace is swimming.;snli
170;A small girl with a necklace is swimming in a pool;snli
171;A fat girl is diving off the edge;snli
172;A small girl with a necklace is in the water;snli
173;A skater grinds on the lip of the pool.;snli
174;"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""";snli
175;A man is wrapped in a UNICEF blanket.;snli
176;A couple carrying a child are walking along water.;snli
177;An Indian couple is seeking refuge with a humanitarian organization.;snli
178;There is a woman holding a baby, along with a man with a save the children bag.;snli
179;A group of people are possing for an add.;snli
180;A man and a woman are hoding their son.;snli
181;A family with a baby, the father is wearing a save the children sign.;snli
182;A man is wearing something with writing on it.;snli
183;A foreign family is walking along a dirt path next to the water.;snli
184;A foreigner group of cousins hike along a trail next to a stream.;snli
185;A foreign family walks by a dirt trail along a body of water.;snli
186;The people are driving a car on the freeway.;snli
187;A family of foreigners swims in the water.;snli
188;they are trying not to fall in the water;snli
189;A group of locals run on a dirt trail next to a frozen stream.;snli
190;A family of foreigners walks by the water.;snli
191;A family plays board games at their dinner table.;snli
192;There is a family taking a walk outside.;snli
193;A family walks along a dirt path in a forest by a pond.;snli
194;A family of foreigners walks by the lake.;snli
195;A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.;snli
196;People are looking at sculptures at a museum.;snli
197;A man and a woman are happily standing.;snli
198;Three people are looking at painting at a school fair.;snli
199;The man and woman are standing by a swimming pool.;snli
200;People are looking at scultures that were made by a famous artist.;snli
201;Group of young women in dresses strolling on the sidewalk.;snli
202;all the young girls won the first prize;snli
203;there are some groups one of them of young females are in dresses strolling for a ramp walk;snli
204;A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.;snli
205;tony hawks manager is photographing tony hawk skateboarding;snli
206;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;snli
207;A man is taking the picture of a skateboarder who is being taken by aliens.;snli
208;Photographers capture a male skateboarder performing tricks inside an abandoned building.;snli
209;A man is taking the picture of a skateboarder who is performing a trick.;snli
210;A man is taking photos of his son doing tricks on the skateboard.;snli
211;A man is taking photos of skateboarding tricks.;snli
212;People take photos outdoors while a man performs exciting skateboarding tricks.;snli
213;A pro photographer is taking pictures of a pro skater.;snli
214;Two men are going down a water slide.;snli
215;A man tries to get the perfect picture of a skateboarder for a magazine.;snli
216;A male skateboarder performs tricks outdoors for professional photographers.;snli
217;One biker is running with their bike while another is riding around them.;snli
218;Two people with bicycles, one in front running with a bike and one in back riding.;snli
219;Two people eating ice cream cones at the mall.;snli
220;Two people taking their bikes to the trail.;snli
221;One person running next to their bike with the person riding their bike behind them.;snli
222;A young man doing a trick on a skateboard down the stairs while being photographed.;snli
223;A young man roller blades across a ramp while being photographed.;snli
224;A helmet-less young man does a trick on a skateboard while being photographed.;snli
225;A man being photographed while he does a trick on his skateboard down the stairs.;snli
226;A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.;snli
227;A lady is about to propose to her boyfriend.;snli
228;A lady with a serious face is standing with two guys in front of steps outside.;snli
229;Three guys are standing indoors with flowers in their hands.;snli
230;The man is in the theatre watching Avatar.;snli
231;The man is part of the gay pride parade.;snli
232;Four teenage boys are doing cannonballs into a swimming pool.;snli
233;Four friends are having a competition to see who throws the most water out of a pool.;snli
234;A group of young men are splashing a lot of water.;snli
235;Some boys are eating pizza in a restaurant.;snli
236;Three men standing on grass by the water looking at something on a table.;snli
237;A woman stands behind an outdoor grill with a blue basket of food in her hands.;snli
238;A woman holding a blue basket full of food at a family cookout.;snli
239;A woman standing behind a grill outside with a blue basket of food in her hands.;snli
240;A woman holding a blue basket full of easter eggs outside of a church.;snli
241;A Land Rover makes its way through a deep pond.;snli
242;A family enjoys the sunny day in their backyard.;snli
243;A car has crashed into a large lake.;snli
244;A truck drives down a country road in the sunshine.;snli
245;A man wearing black is playing an electric guitar at a concert.;snli
246;A man is singing as he plays guitar.;snli
247;A man with wild hair rocks a show playing a guitar center stage.;snli
248;A guy stands on stage with his guitar.;snli
249;One crazy looking man plays in a show.;snli
250;woman and child on trolley car labeled Powell and market and bay and taylor;snli
251;The woman and child are on a subway train.;snli
252;Two female medical professionals, one african american& one white, looking over paperwork in a hospital.;snli
253;Coworkers left work and are driving to lunch.;snli
254;Two ladies are studying for their final exam.;snli
255;A man in the distance is walking past a brick wall painted with words and graffiti.;snli
256;A man walks away from a wall he has defaced.;snli
257;A man sits and reads the graffiti on a wall.;snli
258;A woman and a child holding on to the railing while on trolley.;snli
259;The people are on a trolley in san Francisco.;snli
260;A man in a striped polo shirt is pointing and smiling.;snli
261;A guy performing a bicycle jump trick for an audience.;snli
262;a bmx pro is doing a triple backflip;snli
263;A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.;snli
264;The woman is guarding herself from the snow.;snli
265;A brother and sister chase each other in a field.;snli
266;One man sits inside and plays the banjo, there are trees behind him outside.;snli
267;A male plays a banjo while sitting on a sofa.;snli
268;Two children, in colorful outfits, playing in a field with a big rock in the middle.;snli
269;Two kids are playing with a big rock in the field;snli
270;Two kids are playing with a big rock in the field with family;snli
271;Two young girls are playing outside in a non-urban environment.;snli
272;Some girls are running through an open field.;snli
273;Some girls are running on the sidewalk, next to some parked cars.;snli
274;Two children in hats play in an open, rocky field.;snli
275;The children are playing in a rocky field.;snli
276;A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.;snli
277;The woman in green and pink is dancing.;snli
278;The dancing woman is alone in her bedroom.;snli
279;Man in gold pants looking at the camera.;snli
280;A man in a gold skirt sits in front of the computer.;snli
281;A man in a gold skirt sitting at his computer watching the computer screen.;snli
282;A man in a golf skirt sitting at his computer typing to his friends online.;snli
283;A man in blue pants sitting and watching the television.;snli
284;Man wearing black t-shirt sitting at a computer desk.;snli
285;the man called off work and was at the zoo all day;snli
286;the man is doing a project for work;snli
287;A bearded man in a black t-shirt sits in front of a desk holding a computer.;snli
288;A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.;snli
289;A young girl sitting at a table with a bowl on her head;snli
290;A young girl has a bowl on her head;snli
291;A toddler dumped her bowl of spaghetti on her head;snli
292;A man is eating cereal in his car;snli
293;A man dances with a fire baton at night.;snli
294;A doctor checks the stomach of a toddler.;snli
295;The doctor is looking inside the toddler's mouth.;snli
296;Young blond woman putting her foot into a water fountain;snli
297;A young woman wearing an evening gown, and holding her shoes in her hands, is dipping one foot into Buckingham Fountain in Chicago.;snli
298;A young blond woman is sitting down on a beach chair.;snli
299;A person is dipping her foot into water.;snli
300;A young woman tries to stick her foot in a fountain.;snli
301;The woman has one foot in the air.;snli
302;A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.;snli
303;A woman is very eager to touch the water;snli
304;A woman is like to touch the water in fountain;snli
305;Woman balancing on edge of fountain while sticking her toe in the water.;snli
306;A woman stand on a fountain and dips her toes in.;snli
307;An old woman stands on a fountain and sticks her toes in.;snli
308;A couple strolls arm and arm and hand in hand down a city sidewalk.;snli
309;The couple is having dinner at a restaurant.;snli
310;A man stare at a passing couple while walking down the block.;snli
311;The woman stares at a couple as they argue down the block.;snli
312;a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.;snli
313;A man and a woman are holding hands as they walk along a city sidewalk.;snli
314;A married couple are fighting on the sidewalk.;snli
315;A married couple are holding hands as they walk along the city sidewalk.;snli
316;A man and a woman are holding hands.;snli
317;a man in red stands with his child at the beach.;snli
318;A man wearing blue sleeping with his child in his lap inside his home.;snli
319;A man wearing red standing with his child at a beach overlooking the ocean.;snli
320;A man wearing red standing with his child as they watch others build sand castles at the beach.;snli
321;New sport is being played to show appreciation to the kids who can not walk.;snli
322;People are playing a sport in honor of crippled people.;snli
323;People a playing a sport to help fund a crippled people fund.;snli
324;Two men in wheelchairs are reaching in the air for a basketball.;snli
325;Two sad men in wheelchairs are reaching in the air for a basketball.;snli
326;Two people in wheelchairs are reaching in the air for a basketball.;snli
327;Two women in wheelchairs are reaching in the air for a basketball.;snli
328;Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.;snli
329;Some wheelchair basketball players playing the basketball match.;snli
330;Three wheelchair basketball players playing basketball in field.;snli
331;A peoples are taking coffee together at coffeshop.;snli
332;Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.;snli
333;Three dogs in different shades of brown and white biting and licking each other.;snli
334;Two dogs playfully bite a third dog, which has its tongue sticking out.;snli
335;Two puppies bite their mother, while she pants.;snli
336;Two dogs are sleeping while a third eats its food.;snli
337;A pair of dogs tease a third with nibbles.;snli
338;Three small puppies bite and play together in the grass.;snli
339;Two dogs biting another dog in a field.;snli
340;A group of tourist waiting for a train outside.;snli
341;A group of tourist waiting for a train at a train station.;snli
342;A doctor in blue scrubs is performing an operation assisted by two men and a woman.;snli
343;A woman with a black jacket walks past an outdoor movie poster.;snli
344;A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.;snli
345;Indian lady and a guy in a blue suit dancing in the sunlight.;snli
346;A mountain biker jumping a slope outdoors in a forest area.;snli
347;A person is trying to learn new tricks on their bike.;snli
348;The biker can be a man or a woman;snli
349;A biker is doing jumps in a wooded area.;snli
350;The biker is using a small bike to jump a hole.;snli
351;The mountain biker is going on a desert trail.;snli
352;The biker is trying to jump over a volcano.;snli
353;Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.;snli
354;Two old men in winter coats talk outside.;snli
355;Two elderly men having a conversation, snow covered grass in the background.;snli
356;The men are drinking coffee and having some cookies;snli
357;There are two men outside in this picture;snli
358;Two men are standing outside and snow is on the ground.;snli
359;Two older men in coats are standing outside.;snli
360;It is cold, but they went outside anyway.;snli
361;A gentleman in a purple scarf and hat is looking at money while holding an accordion.;snli
362;A woman is brushing her hair in her bedroom.;snli
363;A man is looking at a hundreds of dollars.;snli
364;there is a bmx biker who is perfect in ravine jumping;snli
365;A white bike is tied to a street sign.;snli
366;the bike is tied to a stop sign;snli
367;A white bike is leaning against a post.;snli
368;A bike is on the ground about to be reparied;snli
369;A bike with a flat tire is not being ridden;snli
370;The boy locked the cycle and went away.;snli
371;A bicycle chained up with a boy walking away.;snli
372;A city filled with people in the middle of the daytime.;snli
373;A abandoned city at the edge of the world.;snli
374;A crowded city filled with many cars on a warm summer day.;snli
375;A busy city that looks like New York City.;snli
376;The city has a lot of people in it.;snli
377;A view of buildings and people walking across the streets in Times Square, New York City.;snli
378;Times Square in New York City is full of people and bustling with noise and activity.;snli
379;A barber is inside his shop standing in the front.;snli
380;The barber is closing the shop at the end of the day.;snli
381;A man is waiting to get his haircut.;snli
382;A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.;snli
383;A woman wearing a red apron inspects a large black pot on a table filled with cups, bowls, pots and baskets of assorted size.;snli
384;A model posing to look as if she's a real female soccer player.;snli
385;A man is modeling for a cooking show.;snli
386;A woman is trying to model for a sports magazine.;snli
387;Exhausted looking firemen are walking back to the fire station to rest.;snli
388;Determined looking firemen are running into a burning building.;snli
389;Three firefighters, the nearest firefighter is holding a helmet in his left hand.;snli
390;Three man are holding axes in their left hands.;snli
391;The firemen are gathered one is holding his helmet.;snli
392;A man walking along side a clean up crew.;snli
393;The man directed the clean up crew where to go.;snli
394;A driver is racing his Ford vehicle on a gravel track.;snli
395;A Ford is being driven on a track.;snli
396;Three guys and a girl are all jumping in a pool together.;snli
397;The people are all climbing out of the water.;snli
398;The people are all jumping into a body of water.;snli
399;A little boy underwater in a pool, holding a plastic dinosaur.;snli
400;A little boy swimming underwater with a toy in his hand.;snli
401;A little boy is holding a pool ring.;snli
402;A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.;snli
403;A man is riding in his first rodeo.;snli
404;A man is being bucked on a horse.;snli
405;A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.;snli
406;a woman with a straw hat working on a strange machine with coconuts at her side.;snli
407;A woman is using a machine to make coconut milk.;snli
408;A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.;snli
409;The man is boiling a pot of corn.;snli
410;A man is shucking a large pile of corn.;snli
411;a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.;snli
412;The woman is making jewelry at the park.;snli
413;The woman has a small child trapped in the machine who sews clothes.;snli
414;A woman on the side of a street is making food on her cart.;snli
415;A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.;snli
416;Women exercising one woman has a green mat and black outfit on.;snli
417;The students are taking a beginners' yoga class.;snli
418;The young man is waiting with others on the sidewalk.;snli
419;There is a young person talking with others near the bustop;snli
420;there is a group of people waiting outside;snli
421;The man is checking into a 4 star hotel;snli
422;The man is sleeping on the grass because he is homeless;snli
423;A white and brown dog is leaping through the air.;snli
424;The white and brown dog is in the air.;snli
425;A row of legs and black boots with a boy sitting at the end of the row.;snli
426;A young boy sits on the ground in a family picture.;snli
427;A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.;snli
428;The man is drinking a beer in a pub.;snli
429;Various people hanging around outside of a building.;snli
430;There are a group of people are standing outside.;snli
431;A little girl follows two guys with umbrellas down a path.;snli
432;The people are walking home in the rain.;snli
433;A lady is on the floor packing a suitcase.;snli
434;Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.;snli
435;A girl is running downhill on the trail.;snli
436;Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.;snli
437;three people are walking along a path trying to get home before the storm hits.;snli
438;The blond woman is searching for medical supplies in a suitcase.;snli
439;A blonde woman looks for things in a suitcase.;snli
440;A blonde woman looks for medical supplies for work in a suitcase.;snli
441;A brunette woman checks her suitcase before boarding a plane.;snli
442;Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.;snli
443;A young woman packs belongings into a black suitcase.;snli
444;A young man packs belongings into a black trash bag.;snli
445;A young woman distributes belongings into a black box.;snli
446;A young woman packs belongings into a black luggage carrier.;snli
447;People going for a long walk to the mountains.;snli
448;The people are walking in a big group.;snli
449;A woman in costume is marching with a large drum.;snli
450;A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.;snli
451;Someone is toting packages in an urban setting.;snli
452;A young lad delivers groceries by bicycle in the city.;snli
453;A man delivers groceries to shut-in seniors in the city.;snli
454;A man sitting on a scooter on the curb.;snli
455;A man is waiting for someone to fix his scooter.;snli
456;A man stopping on the sidewalk with his bike to have a smoke.;snli
457;A man is sitting on a motorcycle on the sidewalk.;snli
458;A man is sitting on a motorcycle and drives away.;snli
459;A man in black is playing with his cat on Sunday.;snli
460;Man smokes while sitting on a parked scooter.;snli
461;A man smokes a cigarette while sitting on his scooter.;snli
462;The man drinks a beer while sitting in his car.;snli
463;The man is smoking something while sitting on the scooter.;snli
464;Man on the sidewalk sitting on a motorcycle.;snli
465;Man sitting on a motorcycle on the sidewalk;snli
466;A couple, wearing black, burgundy, and white, dance.;snli
467;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;snli
468;the runners waited to start the olympic race;snli
469;People wearing pink and purple get ready for a race;snli
470;People wearing their bright team uniforms await the pistol that signifies the start of their race;snli
471;People in orange vests await the beginning of a race to win first prize.;snli
472;The people waiting are part of the race.;snli
473;People in orange vests are racing in a race that has started.;snli
474;People in orange vests await the beginning of a race.;snli
475;A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.;snli
476;They movie is very loud in the background.;snli
477;The skier is wearing a yellow jumpsuit and sliding across a yellow rail.;snli
478;A track event held by J.P. Morgan Chase with security.;snli
479;Security guards are searching for weapons at a track event.;snli
480;An english farmer with a horse pulled wagon.;snli
481;There is a farmer with a horse wagon;snli
482;There is a farmer riding a wagon outdoors;snli
483;Children's soccer game being played while the sun sets in the background.;snli
484;Old men playing soccer while the sun sets.;snli
485;A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.;snli
486;Two soccer teams are competing on a soccer field.;snli
487;Two skilled soccer teams are competing against one another for the championship.;snli
488;Soccer teams play on a field as the sun sets behind a line of trees.;snli
489;A football team is playing hockey against a soccer team in an ice rink.;snli
490;A soccer team is about to win a soccer game.;snli
491;White small child wearing a brown and gray striped hoodie plays at park.;snli
492;A small child is playing video games in his bedroom.;snli
493;A small boy is playing tag at a park with his friends.;snli
494;A little boy in brown pants is playing on ropes at a park.;snli
495;There is a little boy in brown pants.;snli
496;There is a little girl in red pants.;snli
497;There is a little boy who likes the color brown.;snli
498;Toddler in striped sweatshirt plays on rope on playground.;snli
499;A woman wearing a pink hat is looking at a pink car with the truck open.;snli
500;The woman is wondering if she left her car open.;snli
501;The woman is wearing a grocery bag to her car.;snli
502;A man in a blue shirt is looking up.;snli
503;A man in a blue shirt is looking up at a dog.;snli
504;A man in a red shirt is looking up.;snli
505;Three girls on an amusement ride enjoying themselves.;snli
506;Woman at Walmart check-out having her groceries bagged by an employee.;snli
507;Brown dog is sleeping next to the water;snli
508;Brown dog treads through water as he is soaked in water;snli
509;Brown dog treads through water as he swims towards shore;snli
510;A woman is waiting with children as she is checked out at Walmart.;snli
511;A woman is standing at the counter at Target.;snli
512;A woman has children with her at the check out counter.;snli
513;A blond woman with two children is checking out at a Walmart register.;snli
514;A mother is with her two children at Walmart buying food;snli
515;A mother is with her two children at walmart;snli
516;A woman sitting in a laundromat looking at the camera.;snli
517;A woman is modeling appliances for the camera.;snli
518;A young boy paddles across the water in a makeshift boat.;snli
519;A baseball player is about to throw a baseball.;snli
520;A baseball player is swinging to hit the ball.;snli
521;A dog is chasing a ball on the beach.;snli
522;A dog is sleeping in the living room.;snli
523;A white dog runs along a rocky shoreline.;snli
524;A dog is running up the stairs at home.;snli
525;A dog is running with his owner outside.;snli
526;A fuzzy white lap dog runs along a rocky beach.;snli
527;A dog snuggle down under blankets on the couch.;snli
528;A small white dog running on a pebble covered beach.;snli
529;A dog runs after his boy and the frisbee.;snli
530;A baseball player is putting all his might in to throwing a ball.;snli
531;Cheerleaders are waiting for the game to begin.;snli
532;The football player killed the cheerleader with his bullet pass.;snli
533;The Dallas Cowboys' cheerleaders are trying to pump-up the crowd.;snli
534;Cheerleaders cheer on a field for an activity.;snli
535;Some football players are practicing a running play.;snli
536;The cheerleaders cheer for the start of the big game.;snli
537;A woman in a blue shirt and green hat looks up at the camera.;snli
538;A woman wearing a blue shirt and green hat looks at the camera;snli
539;A woman wearing a blue shirt and green hat smiles at the camera;snli
540;A woman wearing a blue shirt and green hat is on her cellphone;snli
541;Cheerleaders are doing a cheer at a football field.;snli
542;The cheerleaders are wearing black and red uniforms.;snli
543;An excited, smiling woman stands at a red railing as she holds a boombox to one side.;snli
544;A lady is kneeling wearing a blue shirt.;snli
545;A lady is kneeling before the priest at church.;snli
546;The silhouette of three people in front of a wall.;snli
547;The people are running down the country road.;snli
548;Two people wearing blue clothing are making hand gestures next to one another.;snli
549;A man and a woman are standing next to each other and communicating through sign language.;snli
550;A man is sitting with his hands in his pockets.;snli
551;A spotted black and white dog splashes in the water.;snli
552;the dog is eating out of his favorite bowl in the kitchen;snli
553;A large group, wearing pink shirts, waves to onlookers.;snli
554;A baby is playing with a strand of beads.;snli
555;A woman is running a marathon in a park.;snli
556;A group of people point forwards while performing some kind of act.;snli
557;A group of people point forwards while doing something.;snli
558;A group of people point somewhere while speaking.;snli
